angulo_deg,rssi_dbm
0,-80.08
5,-81.626
10,-79.426
15,-76.374
20,-74.885
25,-73.557
30,-73.03
35,-72.836
40,-74.282
45,-73.037
50,-72.323
55,-72.422
60,-73.142
65,-73.033
70,-72.802
75,-72.797
80,-73.901
85,-76.602
90,-78.864
95,-81.425
100,-75.712
105,-70.892
110,-69.836
115,-70.923
120,-73.329
125,-77.671
130,-77.798
135,-74.751
140,-72.056
145,-71.075
150,-73.995
155,-78.182
160,-75.453
165,-68.188
170,-67.727
175,-69.654
180,-79.127
185,-73.757
190,-63.941
195,-61.074
200,-59.159
205,-56.957
210,-56.021
215,-56.01
220,-55.08
225,-55.92
230,-57.055
235,-59.55
240,-61.996
245,-66.051
250,-69.948
255,-70.268
260,-69.343
265,-69.599
270,-71.052
275,-72.172
280,-73.531
285,-74.855
290,-75.951
295,-78.336
300,-81.468
305,-82.795
310,-83.72
315,-81.752
320,-75.487
325,-72.428
330,-70.676
335,-70.425
340,-71.171
345,-73.254
350,-76.148
355,-78.059
