angulo_deg,rssi_filtrado_prom_dbm,num_muestras,lat_prom_deg,lon_prom_deg
0,-78.139,16,19.5124798,-99.12942
45,-69.733,7,19.5124798,-99.1294189
50,-68.258,2,19.5124798,-99.1294188
55,-66.531,8,19.5124792,-99.1294189
60,-63.299,4,19.5124784,-99.1294187
65,-62.757,4,19.5124783,-99.1294185
70,-62.734,5,19.5124785,-99.1294181
75,-63.192,3,19.5124791,-99.1294177
80,-64.047,6,19.5124793,-99.1294174
85,-64.714,3,19.5124795,-99.1294174
90,-64.646,4,19.5124798,-99.1294178
95,-64.287,6,19.5124801,-99.1294182
100,-63.516,3,19.5124803,-99.1294183
105,-62.702,6,19.5124804,-99.1294185
110,-61.696,6,19.5124803,-99.1294185
115,-61.067,3,19.5124803,-99.1294186
120,-60.624,3,19.5124802,-99.1294186
125,-60.38,6,19.51248,-99.1294187
130,-60.487,7,19.5124797,-99.1294181
135,-60.74,3,19.5124796,-99.1294177
140,-61.789,6,19.5124794,-99.1294178
145,-63.45,2,19.5124791,-99.1294181
150,-64.701,5,19.512479,-99.1294184
155,-66.243,5,19.5124788,-99.1294189
160,-65.804,6,19.5124789,-99.1294194
165,-65.33,3,19.5124791,-99.1294196
170,-65.754,4,19.5124795,-99.1294199
175,-67.079,6,19.5124799,-99.1294197
180,-68.185,5,19.51248,-99.1294199
185,-69.137,4,19.51248,-99.1294202
190,-70.848,6,19.5124801,-99.1294202
195,-71.153,4,19.5124803,-99.1294201
200,-70.671,4,19.5124802,-99.1294201
205,-69.546,4,19.5124799,-99.1294201
210,-69.374,4,19.5124798,-99.1294201
215,-70.649,6,19.5124794,-99.1294198
220,-73.099,3,19.5124795,-99.1294194
225,-73.834,5,19.5124795,-99.1294193
230,-73.128,1,19.5124795,-99.1294192
235,-72.282,5,19.5124795,-99.1294193
240,-70.32,7,19.5124793,-99.1294193
245,-69.774,3,19.512479,-99.1294193
250,-70.948,5,19.5124793,-99.1294196
255,-72.292,2,19.5124799,-99.1294201
260,-73.727,6,19.5124802,-99.1294204
265,-74.992,4,19.5124801,-99.129421
270,-73.152,5,19.51248,-99.1294215
275,-71.216,5,19.5124799,-99.1294217
280,-66.774,4,19.5124796,-99.1294216
285,-62.171,3,19.5124797,-99.1294214
290,-59.137,6,19.5124798,-99.1294209
295,-58.165,2,19.5124799,-99.1294204
300,-57.264,5,19.51248,-99.12942
305,-55.777,8,19.5124803,-99.1294197
310,-53.788,2,19.5124802,-99.1294195
315,-51.827,6,19.5124801,-99.1294193
320,-50.011,3,19.5124802,-99.1294194
325,-49.177,5,19.5124805,-99.1294196
330,-51.042,4,19.5124804,-99.1294197
335,-55.74,4,19.5124802,-99.1294195
340,-58.633,4,19.5124798,-99.1294194
345,-60.617,2,19.5124789,-99.1294192
350,-63.029,2,19.5124786,-99.1294196
355,-65.994,2,19.5124787,-99.12942
lat_inicio_mision_deg,19.5124784,,,
lon_inicio_mision_deg,-99.1294166,,,
lat_inicio_barrido_deg,19.5124797,,,
lon_inicio_barrido_deg,-99.1294196,,,
lat_media_barrido_deg,19.5124797,,,
lon_media_barrido_deg,-99.1294194,,,
maximos_candidatos_cfg,3.0,,,
vecinos_por_lado_cfg,3.0,,,
AoA_1_deg,325.0,,,
AoA_1_rssi_dbm,-49.177,,,
AoA_1_media_vecinal_dbm,-52.888,,,
AoA_2_deg,125.0,,,
AoA_2_rssi_dbm,-60.38,,,
AoA_2_media_vecinal_dbm,-60.969,,,
AoA_3_deg,70.0,,,
AoA_3_rssi_dbm,-62.734,,,
AoA_3_media_vecinal_dbm,-63.896,,,
AoA_deg,325.0,,,
AoA_enviado_deg,325.0,,,
AoA_rssi_dbm,-49.177,,,
AoA_media_vecinal_dbm,-52.888,,,
beamwidth_deg,17.1,,,
left_3dB_deg,314.108,,,
right_3dB_deg,331.208,,,
