angulo_deg,rssi_filtrado_prom_dbm,num_muestras,lat_prom_deg,lon_prom_deg
0,-71.043,20,19.5124762,-99.1294005
15,-74.318,18,19.5124754,-99.1294007
30,-67.31,17,19.5124759,-99.1294006
45,-65.208,16,19.512476,-99.1294008
60,-65.668,18,19.5124755,-99.1294007
75,-63.494,18,19.5124751,-99.1293983
90,-63.576,19,19.512476,-99.1293999
105,-64.269,14,19.5124757,-99.1293989
120,-63.442,12,19.5124749,-99.1294
135,-65.507,18,19.5124739,-99.1293989
150,-67.717,17,19.5124752,-99.1293996
165,-68.389,14,19.5124757,-99.1293998
180,-69.716,14,19.5124751,-99.1294004
195,-69.544,17,19.5124752,-99.1294002
210,-71.671,13,19.5124753,-99.1294002
225,-71.443,19,19.5124757,-99.1294005
240,-70.871,19,19.5124756,-99.1294004
255,-77.112,16,19.5124759,-99.1293999
270,-73.405,16,19.5124754,-99.1293993
285,-63.198,19,19.5124753,-99.1293997
300,-52.35,16,19.5124753,-99.1293993
315,-50.778,19,19.512475,-99.1293996
330,-54.409,20,19.5124749,-99.1294003
345,-65.272,17,19.5124752,-99.1293998
lat_inicio_mision_deg,19.5124737,,,
lon_inicio_mision_deg,-99.1293983,,,
lat_inicio_barrido_deg,19.512476,,,
lon_inicio_barrido_deg,-99.1294019,,,
lat_media_barrido_deg,19.5124754,,,
lon_media_barrido_deg,-99.1293999,,,
maximos_candidatos_cfg,3.0,,,
vecinos_por_lado_cfg,1.0,,,
AoA_1_deg,315.0,,,
AoA_1_rssi_dbm,-50.778,,,
AoA_1_media_vecinal_dbm,-52.512,,,
AoA_2_deg,75.0,,,
AoA_2_rssi_dbm,-63.494,,,
AoA_2_media_vecinal_dbm,-64.246,,,
AoA_3_deg,120.0,,,
AoA_3_rssi_dbm,-63.442,,,
AoA_3_media_vecinal_dbm,-64.406,,,
AoA_deg,315.0,,,
AoA_enviado_deg,315.0,,,
AoA_rssi_dbm,-50.778,,,
AoA_media_vecinal_dbm,-52.512,,,
beamwidth_deg,29.37,,,
left_3dB_deg,298.025,,,
right_3dB_deg,327.396,,,
