angulo_deg,rssi_filtrado_prom_dbm,num_muestras,lat_prom_deg,lon_prom_deg
0,-76.180,16,19.5124290,-99.1293397
15,-79.700,4,19.5124275,-99.1293382
30,-75.232,17,19.5124283,-99.1293388
45,-74.719,16,19.5124280,-99.1293386
60,-70.987,19,19.5124276,-99.1293384
75,-72.528,10,19.5124281,-99.1293381
90,-72.932,9,19.5124280,-99.1293385
105,-72.334,8,19.5124279,-99.1293388
120,-71.177,17,19.5124280,-99.1293386
135,-71.089,14,19.5124283,-99.1293385
150,-69.582,17,19.5124284,-99.1293393
165,-71.119,17,19.5124281,-99.1293390
180,-76.132,13,19.5124285,-99.1293380
195,-77.797,11,19.5124286,-99.1293378
210,-76.706,7,19.5124287,-99.1293399
225,-74.711,17,19.5124285,-99.1293380
240,-71.080,14,19.5124283,-99.1293383
255,-74.082,15,19.5124285,-99.1293390
270,-76.325,9,19.5124286,-99.1293389
285,-69.435,15,19.5124282,-99.1293389
300,-65.125,5,19.5124288,-99.1293391
315,-64.686,6,19.5124287,-99.1293388
330,-65.779,6,19.5124285,-99.1293387
345,-72.769,5,19.5124287,-99.1293388
,,,,
tipo_barrido,BC,,,
sweep_index,1,,,
maximos_candidatos_cfg,3,,,
vecinos_por_lado_cfg,1,,,
semi_yaw_rate_cfg_deg_s,22.5,,,
criterio_aoa,robust_mean,,,
source_lat_final_deg,19.5125837,,,
source_lon_final_deg,-99.1295635,,,
source_reason_final,rssi_avg20_ge_-35dbm (-34.951 dBm),,,
AoA_1_deg,315.000,,,
AoA_1_rssi_dbm,-64.686,,,
AoA_1_media_vecinal_dbm,-65.197,,,
AoA_2_deg,150.000,,,
AoA_2_rssi_dbm,-69.582,,,
AoA_2_media_vecinal_dbm,-70.596,,,
AoA_3_deg,60.000,,,
AoA_3_rssi_dbm,-70.987,,,
AoA_3_media_vecinal_dbm,-72.745,,,
AoA_deg,315.000,,,
AoA_enviado_deg,315.000,,,
AoA_rssi_dbm,-64.686,,,
AoA_media_vecinal_dbm,-65.197,,,
beamwidth_deg,43.002,,,
left_3dB_deg,291.089,,,
right_3dB_deg,334.092,,,
