angulo_deg,rssi_filtrado_prom_dbm,num_muestras,lat_prom_deg,lon_prom_deg
285,-42.829,16,19.5125363,-99.1294910
290,-43.350,17,19.5125357,-99.1294904
295,-40.818,19,19.5125365,-99.1294897
300,-41.408,19,19.5125365,-99.1294896
305,-40.034,17,19.5125362,-99.1294901
310,-40.181,15,19.5125363,-99.1294894
315,-41.134,11,19.5125358,-99.1294904
,,,,
tipo_barrido,SB,,,
sweep_index,3,,,
maximos_candidatos_cfg,3,,,
vecinos_por_lado_cfg,1,,,
semi_yaw_rate_cfg_deg_s,22.5,,,
criterio_aoa,peak_only,,,
source_lat_final_deg,19.5125837,,,
source_lon_final_deg,-99.1295635,,,
source_reason_final,rssi_avg20_ge_-35dbm (-34.951 dBm),,,
AoA_1_deg,305.000,,,
AoA_1_rssi_dbm,-40.034,,,
AoA_1_media_vecinal_dbm,-40.034,,,
AoA_2_deg,310.000,,,
AoA_2_rssi_dbm,-40.181,,,
AoA_2_media_vecinal_dbm,-40.181,,,
AoA_3_deg,295.000,,,
AoA_3_rssi_dbm,-40.818,,,
AoA_3_media_vecinal_dbm,-40.818,,,
AoA_deg,305.000,,,
AoA_enviado_deg,305.000,,,
AoA_rssi_dbm,-40.034,,,
AoA_media_vecinal_dbm,-40.034,,,
beamwidth_deg,24.376,,,
left_3dB_deg,290.624,,,
right_3dB_deg,315.000,,,
